country,state,city,latitude,longitude,radius,radius_units,geometry
United States,District of Columbia,Washington,38.89,-77.03,16,km,united_states-distict_of_columbia-washington-lat_38p89-lon_n77p03-radius_16km.geojson
United States,New Mexico,Gallup,,,40,km,united_states-new_mexico-gallup-radius_40km.geojson
United States,Oklahoma,,,,,,united_states-oklahoma.geojson
United States,Ohio,Cleveland,,,50,km,united_states-ohio-cleveland-radius_50km.geojson
Germany,,,,,,,germany.geojson
France,,,,,,,france.geojson
United States,Georgia,Atlanta,,,40,km,united_states-georgia-atlanta-radius_40km.geojson
United States,Louisiana,Baton Rouge,,,40,km,united_states-louisiana-baton_rouge-radius_40km.geojson
United States,Texas,Austin,,,40,km,united_states-texas-austin-radius_40km.geojson
United States,Texas,Houston,,,40,km,united_states-texas-houston-radius_40km.geojson
United States,Virginia,Richmond,,,40,km,united_states-virginia-richmond-radius_40km.geojson
Canada,,,,,,,canada.geojson
United States,New Mexico,,,,,,united_states-new_mexico.geojson
United States,North Carolina,,,,,,united_states-north_carolina.geojson
United States,South Carolina,,,,,,united_states-south_carolina.geojson
United States,Georgia,Atlanta,,,50,km,united_states-georgia-atlanta-radius_50km.geojson
United States,California,Lancaster,,,25,mi,united_states-california-lancaster-radius_25mi.geojson
United States,California,San Francisco,,,25,mi,united_states-california-san_francisco-radius_25mi.geojson
United States,Wisconsin,Madison,,,25,mi,united_states-wisconsin-madison-radius_25mi.geojson
United States,New York,Buffalo,,,50,mi,united_states-new_york-buffalo-radius_50mi.geojson
United States,Minnesota,,,,,,united_states-minnesota.geojson
United States,Arkansas,,,,,,united_states-arkansas.geojson
United States,Mississippi,,,,,,united_states-mississippi.geojson
United States,West Virginia,,,,,,united_states-west_virginia.geojson
United States,Pennsylvania,Harrisburg,,,,,united_states-pennsylvania-harrisburg.geojson
United States,New York,Buffalo,,,14,mi,united_states-new_york-buffalo-radius_14mi.geojson
United States,Texas,Abilene,,,30,mi,united_states-texas-abilene-radius_30mi.geojson
United States,Texas,Bryan,,,33,mi,united_states-texas-bryan-radius_33mi.geojson
United States,Texas,Houston,,,34,mi,united_states-texas-houston-radius_34mi.geojson
United States,Texas,South Plains,,,36,mi,united_states-texas-south_plains-radius_36mi.geojson
Turkmenistan,,,,,,,turkmenistan.geojson
United States,Georgia,Atlanta,,,,,united_states-georgia-atlanta.geojson
United States,Michigan,Detroit,,,,,united_states-michigan-detroit.geojson
Netherlands,,,,,,,netherlands.geojson
United States,District of Columbia,Washington,,,50,mi,united_states-district_of_columbia-washington-radius_50mi.geojson
United States,Delaware,Wilmington,,,,,united_states-delaware-wilmington.geojson
United States,Illinois,,,,,,united_states-illinois.geojson
United States,California,,,,,,united_states-california.geojson
United States,Ohio,Cleveland,,,40,km,united_states-ohio-cleveland-radius_40km.geojson
United States,New York,Staten Island,,,,,united_states-new_york-staten_island.geojson
United States,Minnesota,Minneapolis,,,25,mi,united_states-minnesota-minneapolis-radius_25mi.geojson
United States,Kansas,,,,,,united_states-kansas.geojson
United States,Michigan,Detroit,,,70,km,united_states-michigan-detroit-radius_70km.geojson
United States,Georgia,,,,,,united_states-georgia.geojson
United States,Nebraska,,,,,,united_states-nebraska.geojson
United States,Pennsylvania,Philadelphia,,,,,united_states-pennsylvania-philadelphia.geojson
United States,Arizona,,,,50,mi,united_states-arizona-radius_50mi.geojson
China,,,,,,,china.geojson
United States,Idaho,,,,,,united_states-idaho.geojson
United States,Texas,Amarillo,,,30,mi,united_states-texas-amarillo-radius_30mi.geojson
United States,Texas,Conroe,,,31,mi,united_states-texas-conroe-radius_31mi.geojson
United States,Texas,Lubbock,,,32,mi,united_states-texas-lubbock-radius_32mi.geojson
United States,Texas,Temple,,,35,mi,united_states-texas-temple-radius_35mi.geojson
United States,Michigan,Detroit,,,40,km,united_states-michigan-detroit-radius_40km.geojson
United States,Arizona,,,,,,united_states-arizona.geojson
United States,Ohio,Cleveland,,,34,mi,united_states-ohio-cleveland-radius_34mi.geojson
United States,Georgia,Atlanta,,,50,mi,united_states-georgia-atlanta-radius_50mi.geojson
United States,California,Los Angeles,,,25,mi,united_states-california-los_angeles-radius_25mi.geojson
United States,Michigan,Detroit,,,20,km,united_states-michigan-detroit-radius_20km.geojson
United States,Iowa,,,,,,united_states-iowa.geojson
Georgia,,,,,,,georgia.geojson
United States,Pennsylvania,Allentown,,,,,united_states-pennsylvania-allentown.geojson
United States,Tennessee,,,,,,united_states-tennessee.geojson
United States,New York,New York,,,50,mi,united_states-new_york-new_york-radius_50mi.geojson
United States,Texas,Beaumont,,,31,mi,united_states--texas-beaumont-radius_31mi.geojson
United States,Texas,Dallas,,,33,mi,united_states-texas-dallas-radius_33mi.geojson
United States,Texas,San Angelo,,,39,mi,united_states-texas-san_angelo-radius_39mi.geojson
United States,Texas,Tyler,,,35,mi,united_states-texas-tyler-radius_35mi.geojson
United States,Texas,Houston,,,50,mi,united_states-texas-houston-radius_50mi.geojson
United States,Michigan,,,,,,united_states-michigan.geojson
United States,North Carolina,Charlotte,,,25,mi,united_states-north_carolina-charlotte-radius_25mi.geojson
United States,New York,Rochester,,,50,mi,united_states-new_york-rochester-radius_50mi.geojson
United States,Alabama,,,,,,united_states-alabama.geojson
United States,Texas,Houston,,,10,mi,united_states-texas-houston-radius_10mi.geojson
United States,Pennsylvania,Erie,,,,,united_states-pennsylvania-eeir.geojson
United States,New York,Astoria,,,50,mi,united_states-new_york_astoria-radius_50mi.geojson
United States,California,Long Beach,,,25,mi,united_states-california-long_beach-radius_25mi.geojson
United States,Michigan,Detroit,,,35,mi,united_states-michigan-detroit-radius_35mi.geojson
United States,New York,New York,,,37,mi,united_states-new_york-new_york-radius_37mi.geojson
United States,Texas,Brownwood,,,32,mi,united_states-texas-brownwood-radius_32mi.geojson
United States,Texas,Fort Worth,,,33,mi,united_states-texas-fort_worth-radius_33mi.geojson
United States,Texas,San Antonio,,,28,mi,united_states-texas-san_antonio-radius_28mi.geojson
United States,Texas,Waco,,,39,mi,united_states-texas-waco-radius_39mi.geojson
United States,Michigan,Detroit,,,50,mi,united_states-michigan-detroit-radius_50mi.geojson
United States,Wisconsin,,,,,,united_states-wisconsin.geojson
United States,Illinois,Chicago,,,10,mi,united_states-illinois-chicago-radius_10mi.geojson
United States,Florida,Orlando,,,50,mi,united_states-florida-orlando-radius_50mi.geojson
United States,Pennsylvania,Pittsburgh,,,,,united_states-pennsylvania-pittsburgh.geojson
United States,Arizona,,,,25,mi,united_states-arizona-radius_25mi.geojson
United States,Pennsylvania,Scranton,,,,,united_states-pennsylvania-scranton.geojson
United States,California,Los Angeles,,,40,km,united_states-california-los_angeles-radius_40km.geojson
United States,Florida,Gainesville,,,25,mi,united_states-florida-gainesville-radius_25mi.geojson
United States,Texas,Austin,,,35,mi,united_states-texas-austin-radius_35mi.geojson
United States,Texas,Corpus Christi,,,31,mi,united_states-texas-corpus_christi-radius_31mi.geojson
United States,Texas,Odessa,,,33,mi,united_states-texas-odessa-radius_33mi.geojson
United States,Texas,Texas City,,,35,mi,united_states-texas-texas_city-radius_35mi.geojson
United States,Florida,,,,,,united_states-florida.geojson
United States,Minnesota,Minneapolis,,,50,mi,united_states-minnesota-minneapolis-radius_50mi.geojson
United States,Florida,Tampa,,,25,mi,united_states-florida-tampa-radius_25mi.geojson
United States,Maryland,Baltimore,,,17,km,united_states-maryland-baltimore-radius_17km.geojson
United States,New York,New York,,,10,mi,united_states-new_york-radius_10mi.geojson
United States,California,Oakland,,,,,united_states-california-oakland.geojson
United States,South Carolina,Charleston,,,70,km,united_states-south_carolina-charleston-radius_70km.geojson
United States,Florida,Orlando,,,25,mi,united_states-florida-orlando-radius_25mi.geojson
United States,Ohio,Cleveland,,,50,mi,united_states-ohia-cleveland-radius_50mi.geojson
United States,Michigan,Lansing,,,25,mi,united_states-michigan-lansing-radius_25mi.geojson
United States,District of Columbia,Washington,,,40,km,united_states-district_of_columbia-washington-radius_40km.geojson
United States,California,Los Angeles,,,50,mi,united_states-california-los_angeles-radius_50mi.geojson
